code,name,companyCode_code,controllingArea
16EP,OIL PRODUCTS,FR16,FRV3
16F2,FIBER INTERMEDIATES,FR16,FRV3
16F3,FIBER INTERMED NO.2,FR16,FRV3
16FA,GRAIN & FEED,FR16,FRV3
16GA,FIXED ASSETS CONTROL,FR16,FRV3
16GF,FUND CONTROL A/C,FR16,FRV3
16H1,PLASTICS NO.1,FR16,FRV3
16H2,PLASTICS NO.2,FR16,FRV3
16HC,ORGANIC CHEM,FR16,FRV3
16NK,NON-FERROUS PRODUCTS,FR16,FRV3
16NZ,TELECOM PRODUCTS,FR16,FRV3
16OH,OVERHEAD ALLOCATION,FR16,FRV3
16PC,PARENT COMPANY CURRE,FR16,FRV3
16RE,CAPITAL & RETAINED E,FR16,FRV3
16SN,BRAND MARKETING 1,FR16,FRV3
16SO,BRAND MARKETING 2,FR16,FRV3
16SR,BRAND MARKETING 3,FR16,FRV3
16SV,APPAREL,FR16,FRV3
16TL,GENERAL A/C CONTROL,FR16,FRV3
16VK,ISUZU &YANMAR,FR16,FRV3
16X1,FUND CONTROL A/-CONS,FR16,FRV3
16X2,GENERAL A/C CON-CONS,FR16,FRV3
16XP,PH,FR16,FRV3
16ZA,DIRECTORS,FR16,FRV3
16ZH,"PLANT, MARINE & AERO",FR16,FRV3
16ZZ,ZZ ACCOUNT,FR16,FRV3
20B1,DistributionBusiness,DE20,DEV3
20B3,Construction Machine,DE20,DEV3
20B5,MT Machine Tools SF,DE20,DEV3
20B7,MT Food Machinery SF,DE20,DEV3
20B9,MT Export Import,DE20,DEV3
20C1,COATINGS,DE20,DEV3
20C2,FUNCTIONAL CHEMICALS,DE20,DEV3
20C3,INCHEM,DE20,DEV3
20F2,FIBER INTERMEDIATES,DE20,DEV3
20F3,FIBER INTERMED NO.2,DE20,DEV3
20FD,FUND CONTROL,DE20,DEV3
20GD,ADMINISTRATION (OVER,DE20,DEV3
20GH,ADMINISTRATION (GENE,DE20,DEV3
20H1,PLASTICS NO.1,DE20,DEV3
20H2,PLASTICS NO.2,DE20,DEV3
20H3,PLASTICS NO2 HUNGARY,DE20,DEV3
20HG,Power&Environm Soln,DE20,DEV3
20LK,IND.TEXT.(TEAM),DE20,DEV3
20NC,NCT,DE20,DEV3
20PD,ADMINISTRATION (CAPI,DE20,DEV3
20RM,RAW MATERIAL & TEXTI,DE20,DEV3
20VK,Automobile,DE20,DEV3
20X1,ADMINISTRATION -CONS,DE20,DEV3
